starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 04 20:14:26 2014	1393989266	8	2013	2021	0
Tue Mar 04 20:14:26 2014	1393989266	8	2016	2024	0
Tue Mar 04 20:14:26 2014	1393989266	8	2022	2030	0
Tue Mar 04 20:14:26 2014	1393989266	8	2026	2034	0
Tue Mar 04 20:14:26 2014	1393989266	8	2030	2038	0
Tue Mar 04 20:14:26 2014	1393989266	8	2033	2042	0
Tue Mar 04 20:14:26 2014	1393989266	8	2039	2047	0
Tue Mar 04 20:14:26 2014	1393989266	8	2043	2051	0
Tue Mar 04 20:14:26 2014	1393989266	8	2050	2059	0
Tue Mar 04 20:14:26 2014	1393989266	9	2056	2064	0
Tue Mar 04 20:14:26 2014	1393989266	7	2065	2072	0
Tue Mar 04 20:14:26 2014	1393989266	9	2064	2073	0
Tue Mar 04 20:14:26 2014	1393989266	7	2076	2082	0
Tue Mar 04 20:14:26 2014	1393989266	9	2074	2083	0
Tue Mar 04 20:14:26 2014	1393989266	7	2085	2092	0
Tue Mar 04 20:14:26 2014	1393989266	8	2091	2099	0
Tue Mar 04 20:14:26 2014	1393989266	7	2096	2103	0
Tue Mar 04 20:14:26 2014	1393989266	7	2101	2108	0
Tue Mar 04 20:14:26 2014	1393989266	8	2102	2110	0
Tue Mar 04 20:14:26 2014	1393989266	8	2108	2116	0
Tue Mar 04 20:14:26 2014	1393989266	8	2114	2122	0
Tue Mar 04 20:14:26 2014	1393989266	8	2116	2125	0
Tue Mar 04 20:14:26 2014	1393989266	8	2122	2130	0
Tue Mar 04 20:14:26 2014	1393989266	8	2129	2137	0
Tue Mar 04 20:14:26 2014	1393989266	9	2131	2139	0
Tue Mar 04 20:14:26 2014	1393989266	9	2135	2145	0
Tue Mar 04 20:14:26 2014	1393989266	8	2144	2152	0
Tue Mar 04 20:14:26 2014	1393989266	9	2145	2154	0
Tue Mar 04 20:14:26 2014	1393989266	9	2150	2159	0
Tue Mar 04 20:14:26 2014	1393989266	10	2154	2164	0
Tue Mar 04 20:14:26 2014	1393989266	10	2159	2168	0
Tue Mar 04 20:14:26 2014	1393989266	10	2162	2172	0
Tue Mar 04 20:14:26 2014	1393989266	10	2167	2177	0
Tue Mar 04 20:14:26 2014	1393989266	10	2172	2182	0
Tue Mar 04 20:14:26 2014	1393989266	10	2176	2186	0
Tue Mar 04 20:14:26 2014	1393989266	10	2179	2190	0
Tue Mar 04 20:14:26 2014	1393989266	10	2184	2194	0
Tue Mar 04 20:14:26 2014	1393989266	10	2187	2197	0
Tue Mar 04 20:14:26 2014	1393989266	11	2191	2202	0
Tue Mar 04 20:14:26 2014	1393989266	8	2200	2208	0
Tue Mar 04 20:14:26 2014	1393989266	10	2202	2212	0
Tue Mar 04 20:14:26 2014	1393989266	11	2207	2217	0
Tue Mar 04 20:14:26 2014	1393989266	8	2215	2223	0
Tue Mar 04 20:14:26 2014	1393989266	9	2219	2228	0
Tue Mar 04 20:14:26 2014	1393989266	9	2223	2232	0
Tue Mar 04 20:14:26 2014	1393989266	11	2224	2235	0
Tue Mar 04 20:14:26 2014	1393989266	11	2229	2240	0
Tue Mar 04 20:14:26 2014	1393989266	9	2238	2247	0
Tue Mar 04 20:14:26 2014	1393989266	9	2241	2250	0
Tue Mar 04 20:14:26 2014	1393989266	10	2245	2255	0
Tue Mar 04 20:14:26 2014	1393989266	11	2248	2259	0
Tue Mar 04 20:14:26 2014	1393989266	11	2253	2264	0
Tue Mar 04 20:14:26 2014	1393989266	10	2261	2271	0
Tue Mar 04 20:14:26 2014	1393989266	10	2266	2276	0
Tue Mar 04 20:14:26 2014	1393989266	11	2267	2278	0
Tue Mar 04 20:14:26 2014	1393989266	10	2274	2284	0
Tue Mar 04 20:14:26 2014	1393989266	10	2278	2289	0
Tue Mar 04 20:14:26 2014	1393989266	11	2281	2291	0
Tue Mar 04 20:14:26 2014	1393989266	8	2293	2301	0
Tue Mar 04 20:14:26 2014	1393989266	10	2293	2303	0
Tue Mar 04 20:14:26 2014	1393989266	8	2301	2309	0
Tue Mar 04 20:14:26 2014	1393989266	8	2307	2315	0
Tue Mar 04 20:14:26 2014	1393989266	8	2311	2319	0
Tue Mar 04 20:14:26 2014	1393989266	8	2315	2323	0
Tue Mar 04 20:14:26 2014	1393989266	11	2314	2325	0
Tue Mar 04 20:14:26 2014	1393989266	11	2319	2330	0
Tue Mar 04 20:14:26 2014	1393989266	11	2323	2334	0
Tue Mar 04 20:14:26 2014	1393989266	11	2327	2338	0
Tue Mar 04 20:14:26 2014	1393989266	12	2331	2343	0
Tue Mar 04 20:14:26 2014	1393989266	11	2337	2349	0
Tue Mar 04 20:14:26 2014	1393989266	11	2342	2353	0
Tue Mar 04 20:14:26 2014	1393989266	12	2347	2359	0
Tue Mar 04 20:14:26 2014	1393989266	12	2352	2364	0
Tue Mar 04 20:14:26 2014	1393989266	12	2355	2367	0
Tue Mar 04 20:14:26 2014	1393989266	11	2362	2373	0
Tue Mar 04 20:14:26 2014	1393989266	11	2367	2378	0
Tue Mar 04 20:14:26 2014	1393989266	11	2370	2382	0
